COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Afghanistan,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,01 Apr 1987
Albania,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,11 May 1994 (a)
Algeria,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,26 Nov 1985,12 Sep 1989
Andorra,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,05 Aug 2002,22 Sep 2006
Angola,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,24 Sep 2013,02 Oct 2019
Antigua and Barbuda,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,19 Jul 1993 (a)
Argentina,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,24 Sep 1986
Armenia,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,13 Sep 1993 (a)
Australia,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,10 Dec 1985,08 Aug 1989
Austria,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,14 Mar 1985,29 Jul 1987
Azerbaijan,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,16 Aug 1996 (a)
Bahamas,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,16 Dec 2008,31 May 2018
Bahrain,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,06 Mar 1998 (a)
Bangladesh,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,05 Oct 1998 (a)
Barbados,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,
Belarus,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,19 Dec 1985,13 Mar 1987
Belgium,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,25 Jun 1999
Belize,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,17 Mar 1986 (a)
Benin,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,12 Mar 1992 (a)
Bhutan,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,
Bolivia (Plurinational State of),Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,12 Apr 1999
Bosnia and Herzegovina,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,01 Sep 1993 (a)
Botswana,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,08 Sep 2000,08 Sep 2000
Brazil,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,23 Sep 1985,28 Sep 1989
Brunei Darussalam,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,22 Sep 2015,
Bulgaria,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,10 Jun 1986,16 Dec 1986
Burkina Faso,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,04 Jan 1999 (a)
Burundi,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,18 Feb 1993 (a)
Cabo Verde,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,04 Jun 1992 (a)
Cambodia,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,15 Oct 1992 (a)
Cameroon,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,19 Dec 1986 (a)
Canada,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,23 Aug 1985,24 Jun 1987
Central African Republic,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,11 Oct 2016 (a)
Chad,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,09 Jun 1995 (a)
Chile,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,23 Sep 1987,30 Sep 1988
China,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,12 Dec 1986,04 Oct 1988
Colombia,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,10 Apr 1985,08 Dec 1987
Comoros,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,22 Sep 2000,25 May 2017
Congo,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,30 Jul 2003 (a)
Cook Islands,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,
Costa Rica,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,11 Nov 1993
CГґte d'Ivoire,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,18 Dec 1995 (a)
Croatia,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,12 Oct 1992 (d)
Cuba,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,27 Jan 1986,17 May 1995
Cyprus,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,09 Oct 1985,18 Jul 1991
Czech Republic,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,22 Feb 1993 (d)
Democratic People's Republic of Korea,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,
Democratic Republic of the Congo,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,18 Mar 1996 (a)
Denmark,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,27 May 1987
Djibouti,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,05 Nov 2002 (a)
Dominica,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,,
Dominican Republic,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,CAT,04 Feb 1985,24 Jan 2012
